id_person;username;password;name;surname;date_of_birth;city;region;registration_sequence;has_registered;email
0;koki_smoki;kkk453;Iva;Brisko;1999-06-03;Zagreb;Grad Zagreb;;;
0;fifi889;45fs;Kaja;Katic;1998-07-06;Karlovac;Karlovacka zupanija;;;
0;tina122;ggg111;Tina;Slisko;2000-06-01;Varaždin;Varazdinska zupanija;;;
0;emili_k;9990j;Emilija;Kokic;1990-03-04;Split ;Splitsko-dalmatinska zupanija;;;
0;rik_pik;rarara;Rikard;Aldo;2001-08-23;Pula;Istarska zupanija;;;
0;nikica;45ooo;Nikola;Ledinko;2002-01-30;Trogir;Splitsko-dalmatinska zupanija;;;
0;zmajica123;tikitiki;Ognjena;Kolar;2002-02-22;Zagreb;Grad Zagreb;;;
0;ulicar_3;pppp0;Petar;Akmacic;2004-06-09;Dugo Selo;Zagrebacka zupanija;;;
0;pipi_carapa;zizi88;Paloma;Rutic;1995-05-31;Split ;Splitsko-dalmatinska zupanija;;;
0;asteriks;wert;Tijan;Mladic;2000-05-15;Karlovac;Karlovacka zupanija;;;
0;heroj45;edii;Edi;Kovacic;1999-10-10;Varaždin;Varazdinska zupanija;;;
0;gum_bum;uuu9;Bojan;Bombic;2000-11-14;Osijek;Osjecko-baranjska zupanija;;;
0;kike00;oppp;Kristina;Krstic;1998-12-08;Osijek;Osjecko-baranjska zupanija;;;
0;lilee;pi314;Lidija;Novak;1999-02-27;Makarska;Splitsko-dalmatinska zupanija;;;
0;toni;jjrj;Antonio;Ilic;2005-03-21;Pula;Istarska zupanija;;;
