id_person;username;password;name;surname;date_of_birth;city;region;registration_sequence;has_registered;email
0;koki_smoki;kkk453;Iva;Brisko;1999-06-99;Zagreb;Grad Zagreb;;;
0;fifi889;45fs;Kaja;Katic;1998-07-98;Karlovac;Karlovacka zupanija;;;
0;tina122;ggg111;Tina;Slisko;2000-06-00;Varazdin;Varazdinska zupanija;;;
0;emili_k;9990j;Emilija;Kokic;1990-03-90;Split ;Splitsko-dalmatinska zupanija;;;
0;rik_pik;rarara;Rikard;Aldo;2001-08-01;Pula;Istarska zupanija;;;
0;nikica;45ooo;Nikola;Ledinko;2002-01-02;Trogir;Splitsko-dalmatinska zupanija;;;
0;zmajica123;tikitiki;Ognjena;Kolar;2002-02-02;Zagreb;Grad Zagreb;;;
0;ulicar_3;pppp0;Petar;Akmacic;2004-06-04;Dugo Selo;Zagrebacka zupanija;;;
0;pipi_carapa;zizi88;Paloma;Rutic;1995-05-95;Split ;Splitsko-dalmatinska zupanija;;;
0;asteriks;wert;Tijan;Mladic;2000-05-00;Karlovac;Karlovacka zupanija;;;
0;heroj45;edii;Edi;Kovacic;1999-10-99;Varazdin;Varazdinska zupanija;;;
0;gum_bum;uuu9;Bojan;Bombic;2000-11-00;Osijek;Osjecko-baranjska zupanija;;;
0;kike00;oppp;Kristina;Krstic;1998-12-98;Osijek;Osjecko-baranjska zupanija;;;
0;lilee;pi314;Lidija;Novak;1999-02-99;Makarska;Splitsko-dalmatinska zupanija;;;
0;toni;jjrj;Antonio;Ilic;2005-03-05;Pula;Istarska zupanija;;;
